iter,combined_train_mse_deg2,lat_train_mse_deg2,lon_train_mse_deg2,lat_train_rmse_deg,lon_train_rmse_deg
1,148.51459670444888,156.44721342733777,140.58197998155995,12.50788604950244,11.856727203640975
2,135.2828971665939,142.06036784995862,128.50542648322917,11.91890799737789,11.336023398142277
3,123.31827287736178,129.02453421789528,117.61201153682826,11.358896698971044,10.84490717050304
4,112.52591643546765,117.29730925775438,107.75452361318094,10.830388232088191,10.380487638506244
5,102.76927366260655,106.66480375793397,98.87374356727913,10.327865401811449,9.943527722457414
6,93.96762191384053,97.09246750677953,90.84277632090155,9.853551010005456,9.531147691694928
7,85.99372046996062,88.41576453544299,83.57167640447825,9.402965730844869,9.141754558315283
8,78.81280591501405,80.62481571786978,77.00079611215834,8.979132236350559,8.775009749975116
9,72.30707521917535,73.54387861833085,71.07027182001983,8.575772770912884,8.430318607266265
10,66.44881038712407,67.17572231315214,65.72189846109602,8.196079691727755,8.106904369800844
11,61.13524238674164,61.39466068140743,60.87582409207585,7.835474502632717,7.802296078211583
12,56.338900707840864,56.17801428502033,56.499787130661396,7.495199415960881,7.516634029315342
13,51.996229765752474,51.450421663555055,52.54203786794989,7.172894929075363,7.248588681112337
14,48.07379578091887,47.18202263681041,48.965568925027334,6.868917137133801,6.997540205316961
15,44.52644382066665,43.328765635989754,45.724122005343546,6.582458935381956,6.761961402237042
16,41.32046832575688,39.856950307620444,42.783986343893304,6.313236120059224,6.540946899638714
17,38.41577327394184,36.689155116104764,40.14239143177892,6.057157346157087,6.335802351066431
18,35.77688071841334,33.83868490946811,37.715076527358576,5.817102793441776,6.141260174211689
19,33.39860064490213,31.279651037912295,35.517550251891976,5.592821384409866,5.959660246347267
20,31.234462125604452,28.922961737498166,33.545962513710734,5.378007227356446,5.791887646848023
21,29.26124515349424,26.798463241831637,31.724027065156843,5.17672321472103,5.632408637976904
22,27.47921147164425,24.8581134916164,30.100309451672093,4.985791160048363,5.486374891644946
23,25.849153842056612,23.094916372220144,28.60339131189308,4.805717050786505,5.348213843134274
24,24.381978404754893,21.510217324402134,27.25373948510765,4.637910879307852,5.220511419880973
25,23.0445150663921,20.080706618199418,26.00832351458478,4.481150144572196,5.099835636036203
26,21.834575490751032,18.772035714315432,24.89711526718663,4.332670736891442,4.989700919612981
27,20.73602657400466,17.580755401108362,23.891297746900957,4.192941139714265,4.8878725174559285
28,19.728398408580645,16.49525017827169,22.961546638889597,4.0614344975970855,4.791820806216526
29,18.82628012994861,15.520766387044423,22.1317938728528,3.9396403880359974,4.704444055661923
30,17.9848759425536,14.629271923399887,21.34047996170731,3.824823123152218,4.619575733950826
31,17.22616799224389,13.816927944532972,20.635408039954807,3.7171128506588245,4.542621274105382
32,16.534921751207726,13.07710480933994,19.992738693075516,3.6162279808302933,4.4713240425041345
33,15.904437201383391,12.407080535723173,19.401793867043608,3.5223685973678527,4.404746742667915
34,15.3325082478324,11.792351462025737,18.872665033639066,3.4339993392581976,4.3442680665031554
35,14.804393719055923,11.235254080911014,18.37353335720083,3.3519030536265535,4.286435973766648
36,14.321129273237432,10.70825208472283,17.934006461752034,3.2723465716092526,4.23485613235586
37,13.880711287113435,10.236743293615326,17.524679280611544,3.1994910991617598,4.186248831664399
38,13.471603244103157,9.801814826711396,17.141391661494918,3.1307850176451586,4.140216378583965
39,13.103509276116355,9.40953861877257,16.797479933460142,3.067497126122952,4.098472878214536
40,12.768679029855774,9.04691884939454,16.490439210317007,3.0078096431447485,4.060842179932262
41,12.445095025914739,8.714956802965093,16.175233248864384,2.952110567537248,4.0218445082902425
42,12.154984600652805,8.420116767659728,15.889852433645881,2.901743746036119,3.9862077760254646
43,11.884885965795297,8.144821468628802,15.624950462961792,2.853913360392849,3.9528408092107368
44,11.643070945758243,7.896592219658552,15.389549671857935,2.8100875822042544,3.9229516530105153
45,11.420950065797742,7.670972643484819,15.170927488110664,2.7696520798621656,3.894987482407442
46,11.186868516019768,7.470941861172865,14.90279517086667,2.733302372803431,3.8604138600500684
47,10.956256963685131,7.279928257939311,14.632585669430952,2.698134217925289,3.8252562880715524
48,10.751756337874054,7.105242460328054,14.398270215420055,2.6655660675226294,3.7945052662264227
49,10.56787324925558,6.943168005415505,14.192578493095654,2.634989185066137,3.7673038758634343
50,10.394079133707443,6.799174127812549,13.988984139602335,2.607522603509421,3.7401850408238273
51,10.22529236718995,6.659181833956036,13.791402900423861,2.580539058792956,3.7136778132228785
52,10.073586553159776,6.525275171871841,13.621897934447711,2.554461816483433,3.6907855443587767
53,9.933633123685892,6.403262989444183,13.464003257927601,2.5304669508697764,3.669332808281037
54,9.807693527606974,6.292855840980495,13.322531214233452,2.508556525370815,3.650004275919886
55,9.687763725816804,6.182791176209955,13.192736275423652,2.4865219034245314,3.6321806501637073
56,9.578689557305403,6.085065688044179,13.072313426566625,2.466792591209115,3.6155654366318175
57,9.48047898632559,5.99429114791405,12.96666682473713,2.448324150906912,3.6009258288302926
58,9.384878446879792,5.916126506981507,12.853630386778079,2.4323088839581017,3.5851960039554434
59,9.301092256432483,5.8410238312938265,12.76116068157114,2.4168210176373894,3.5722766804338013
60,9.209735695672528,5.752784513374861,12.666686877970193,2.398496302556012,3.559028923452322
61,9.120024995541092,5.675635995606153,12.56441399547603,2.3823593338550237,3.5446317150694275
62,9.031447494491655,5.594749653135269,12.46814533584804,2.3653223148516713,3.5310261024025356
63,8.940231711925165,5.513069978783074,12.367393445067258,2.347992755266309,3.5167305050383457
64,8.858242595802864,5.440065485425559,12.276419706180167,2.3323947962181615,3.503772210943538
65,8.780995459192857,5.372463455957109,12.189527462428604,2.3178575141619704,3.4913503780670028
66,8.711185256340967,5.31310662460261,12.109263888079324,2.3050177059195467,3.4798367617000836
67,8.64746514814001,5.2563859313534795,12.03854436492654,2.292680948442997,3.469660554712311
68,8.577847088889104,5.192277991950663,11.963416185827544,2.2786570588727613,3.4588171657125133
69,8.51581504298112,5.137163323281134,11.894466762681109,2.2665311211808086,3.4488355661992802
70,8.456902036845344,5.08396368638551,11.829840387305177,2.2547646631933698,3.439453501256439
71,8.396796604861073,5.032492763778915,11.76110044594323,2.2433218145818747,3.429446084419936
72,8.341038014541834,4.987355397778864,11.694720631304802,2.2332387686449615,3.4197544694473025
73,8.28636780911566,4.9423262195599325,11.63040939867139,2.2231343233281997,3.410338604694758
74,8.240720659101422,4.904165958043435,11.577275360159408,2.2145351561994753,3.4025395457157304
75,8.182028061589588,4.8596195729527025,11.504436550226472,2.2044544842098017,3.391819062129711
76,8.125783428307223,4.815676011218554,11.435890845395893,2.1944648575947974,3.381699401986506
77,8.075159838501804,4.769739456118771,11.38058022088484,2.183973318545529,3.3735115563585727
78,8.021322148408714,4.735771584276614,11.306872712540814,2.176182801208716,3.3625693617442027
79,7.970366553261307,4.701758691647531,11.238974414875083,2.1683539129135565,3.352457966160811
80,7.92466368716221,4.670498739015327,11.178828635309092,2.1611336698629557,3.343475532332948
81,7.878337877925999,4.63769520809013,11.118980547761867,2.1535308700109526,3.3345135398978165
82,7.830750246313974,4.599808160718135,11.061692331909812,2.1447163357232433,3.3259122555939165
83,7.78395146627112,4.567349936229529,11.000552996312711,2.1371359189881978,3.3167081566385535
84,7.7383798727398645,4.531818320439167,10.944941425040563,2.128806783256566,3.308313985256019
85,7.699128268129824,4.501980680380744,10.896275855878903,2.1217871430425683,3.3009507502958755
86,7.660804889008153,4.472348662169865,10.849261115846442,2.11479281778851,3.293821658172531
87,7.618700306594718,4.437966688954759,10.799433924234677,2.1066482119601173,3.286249218217431
88,7.5793493976316935,4.406640995592568,10.752057799670819,2.099200084697161,3.2790330586425656
89,7.53970036627637,4.3726400915548815,10.706760640997858,2.09108586422339,3.2721186777068247
90,7.497824316497093,4.342558161838893,10.653090471155293,2.0838805536399856,3.263907239974092
91,7.460969293156653,4.309586611527332,10.612351974785975,2.0759543857048817,3.25766050637355
92,7.425146993264874,4.278604025261009,10.571689961268739,2.0684786741131775,3.2514135327990408
93,7.3929490808305705,4.254203388935416,10.531694772725725,2.0625720324234535,3.245257273734353
94,7.353277884773704,4.226654519130404,10.479901250417004,2.055882905014389,3.2372675592877713
95,7.3167509294596185,4.193633946287397,10.43986791263184,2.0478364061338974,3.231078444208967
96,7.284160515986369,4.167831726009416,10.400489305963323,2.041526812463999,3.224978962096237
97,7.243751797718957,4.1328878978757695,10.354615697562146,2.0329505399482226,3.2178588684965885
98,7.2069300853265315,4.104082733370694,10.309777437282369,2.0258535814245544,3.210884214244165
99,7.178307496481338,4.08440644649308,10.272208546469596,2.020991451365661,3.20502863426672
100,7.1520648607115955,4.0631992756987705,10.240930445724421,2.0157378985619063,3.200145378842096
101,7.119093426136326,4.035162449751755,10.203024402520896,2.008771378169192,3.194217338022085
102,7.084890910157123,4.01051010803809,10.159271712276155,2.0026258032987814,3.1873612459644662
103,7.053098549194823,3.9914239339466424,10.114773164443005,1.9978548330513513,3.1803731171739904
104,7.019161169568733,3.971669960388317,10.066652378749149,1.992904905003828,3.1727988241849103
105,6.988381922933794,3.94699221356428,10.029771632303309,1.9867038565332982,3.166981470154713
106,6.95488204620544,3.923112134685411,9.986651957725469,1.9806847640867566,3.16016644462368
107,6.92537301317896,3.9047441218060968,9.946001904551823,1.97604254048492,3.153728254709309
108,6.892577943784678,3.883832758708701,9.901323128860655,1.9707442144298435,3.1466367964639095
109,6.863051427970014,3.8624234616437016,9.863679394296325,1.9653049284128155,3.140649517901723
110,6.839998247734355,3.8467570228608503,9.83323947260786,1.9613151258430783,3.135799654411592
111,6.8164257114553415,3.8275618110049865,9.805289611905696,1.9564155517182402,3.131339906797998
112,6.78737352577248,3.8076245794052856,9.767122472139675,1.9513135523040077,3.1252395863580884
