epoch,train_mse,train_ce,val_mse,val_ce,val_mean_m,val_median_m,val_rmse_m,val_p25,val_p75,val_p95,test_mean_m,test_median_m,test_rmse_m,test_p25,test_p75,test_p95
1,0.9721080559998829,3.1934601652528194,0.9817372768297108,3.1036564472618453,1614657.375,1634092.25,1798594.125,1055269.3125,2202255.5,2914292.775,1207055.5,1131636.875,1398306.0,672149.34375,1631688.0,2337275.2499999986
2,0.7239218556912295,3.0486320559128033,0.4950526278317886,2.6133483965462503,1169823.375,1275203.25,1292119.875,658574.34375,1621774.5,1882873.8375,826538.0625,715014.875,973414.8125,431819.421875,1153943.3125,1760943.2374999998
3,0.3457103171414393,2.664521049763632,0.1974401781819647,1.7406519377997163,681229.3125,557036.6875,812766.3125,350664.84375,925285.03125,1528178.7125,618210.5,573792.1875,695565.5625,396136.234375,786662.1875,1152437.1499999997
4,0.19860028243712644,2.3310280387386952,0.14631431596496053,1.5755832785860113,553625.25,478412.15625,688752.0625,244928.1328125,738813.09375,1303527.9499999997,530275.625,488763.375,606277.8125,361069.359375,619339.125,1049016.9374999986
5,0.1708464334922125,2.1171839653035196,0.13170982643232798,1.4476520198565375,493045.625,395982.5,636910.8125,211124.0234375,648672.0625,1274520.075,548492.75,506097.03125,629913.75,318403.296875,717486.5,1068836.1437499989
6,0.16537784766095653,1.9640424854393908,0.11653640838938022,1.387561063154028,468639.3125,380912.6875,586229.0,215716.1328125,663103.90625,1051261.7749999992,535787.75,513279.46875,605486.1875,339181.0,663869.8125,1015878.587499999
7,0.15882594946128667,1.8587795339270081,0.11556814520958732,1.345855892251391,459760.625,353665.0,589873.8125,231123.0703125,567201.3125,1144896.825,507698.0625,462925.625,583976.625,290154.1875,667706.15625,954283.6562499999
8,0.15471207703105408,1.770258267128499,0.09965881677942538,1.3357994680375498,427561.59375,355995.75,543431.25,181607.9453125,577170.53125,961434.3874999998,483923.6875,446095.96875,548885.5625,289322.765625,609797.53125,916454.7124999996
9,0.14907615274634933,1.7139569681846292,0.0953813055444748,1.308226043842619,425173.4375,353045.90625,530846.0625,187283.265625,573428.25,982507.9624999999,475063.5625,445039.90625,537492.0625,304750.234375,621186.3125,877759.5749999998
10,0.15082171712785725,1.6615929226411423,0.09578007827042986,1.3176427244775522,412683.9375,321966.5,518262.125,194540.53125,535082.90625,999687.4874999998,488206.71875,429680.375,570620.4375,288453.078125,617586.0625,1109393.0874999992
11,0.1520001059373568,1.6361510970945634,0.08888930941302478,1.3135833336034681,407463.90625,350003.53125,503941.59375,196608.0234375,525156.3125,968854.4437499994,469224.5,409201.71875,540971.875,283499.6875,605763.15625,996640.93125
12,0.14333585850848743,1.6004968840860674,0.08418256377043709,1.2722724054794792,386715.03125,311950.09375,494626.03125,174383.1796875,517298.640625,1004008.0687499999,481296.65625,465810.15625,574443.6875,254532.7734375,622479.65625,1135043.3874999997
13,0.14392721715018375,1.581447167526098,0.08541513425767969,1.2723886833870812,397151.0625,350768.71875,496081.375,187393.7265625,504199.421875,1016454.5499999998,470107.0625,430252.59375,537110.0625,304188.71875,557362.90625,976118.8124999997
14,0.1441109006429429,1.5624090075806292,0.08553100799976504,1.2739947412721244,398510.9375,331138.71875,496396.75,191102.3125,512357.578125,980256.3187499999,449749.9375,410302.0625,517066.125,266811.96875,587487.71875,941793.4874999998
15,0.14409691348058107,1.5418406477317175,0.08705241730955034,1.249040082712239,405886.65625,339802.0,505288.75,184259.53125,545668.96875,961037.9937499998,457528.625,413584.09375,521325.6875,273911.03125,597937.875,847319.5437499998
16,0.14136725711806838,1.52535991518253,0.0850263032093872,1.2514785816949943,396932.65625,328924.0,495288.875,197356.546875,505143.203125,1017717.3999999991,473539.75,431418.28125,559721.375,275456.375,611667.21875,1103180.5124999993
17,0.14450293448961796,1.5041209509454203,0.08325290596198051,1.2184883659343813,413355.15625,330241.65625,495603.375,231885.578125,560988.25,945733.2999999999,439320.15625,377136.8125,502929.0625,283619.75,557946.8125,905909.5249999996
18,0.14098070064309812,1.4907390339974245,0.07992551487155646,1.2420935166874383,378553.625,297391.5,479610.71875,195769.0625,466048.484375,1004787.9437499996,441468.375,398431.0,513696.125,265990.71875,545100.9375,977995.3437499999
19,0.13881850502503534,1.471710045853798,0.0775544546795183,1.2099304980774972,378195.25,289495.6875,471994.09375,195399.0703125,482153.671875,923562.2874999997,436554.4375,382200.0,502578.0,265557.8125,554682.03125,879272.28125
20,0.13856939096444537,1.4588035347167072,0.07983149817093797,1.2230260907971393,386496.6875,325911.3125,482504.59375,188674.4296875,501425.0,997009.6937499997,439773.375,410016.96875,508959.34375,256067.6171875,549610.15625,862218.1875
21,0.13748407358667705,1.444751602113508,0.07678599039303417,1.1965688441154498,374720.65625,300365.1875,469101.625,196702.65625,465267.546875,940149.2562499996,427939.53125,376441.4375,492445.59375,264365.90625,520602.921875,862906.8749999998
22,0.1389140634422862,1.4405283833887366,0.09057988442298287,1.2046536228136053,423227.59375,357604.40625,519890.40625,237542.3828125,520686.796875,986217.1875,459626.0,427756.1875,519490.46875,324937.0625,579901.90625,859286.3624999997
23,0.1392284257567629,1.4173080438485175,0.07749008831627872,1.1865063913777791,374929.53125,290065.0,468401.5625,205018.21875,455508.234375,950536.4437499996,439339.53125,377750.3125,515269.15625,252950.828125,577952.3125,1031822.9187499994
24,0.13688598305483224,1.4040824756822912,0.07575664697756096,1.1803893497785474,368166.59375,291898.28125,466375.375,183886.3671875,450023.8125,927243.8249999997,435276.5,385298.8125,506287.9375,255299.46875,547634.09375,934914.46875
25,0.13699694888749528,1.3899952403084423,0.07619545213445246,1.1427036919976394,370836.53125,298353.71875,464764.03125,189248.3515625,457544.53125,973683.9374999995,429931.8125,377348.53125,498365.65625,256492.4296875,552201.0625,960071.6124999998
26,0.13816185182615082,1.374462688209507,0.08368548043413994,1.1725233402364854,415383.5,352280.46875,491530.96875,241439.4375,515576.5,889788.2249999999,432771.9375,392799.71875,494858.8125,271067.625,536578.3125,893022.7749999999
27,0.1383690730285791,1.3519312056609145,0.07770219674214311,1.1684259831428667,383031.28125,317250.53125,474073.3125,188178.703125,494720.6875,903594.2874999997,418985.6875,383057.34375,487448.875,231651.953125,534986.71875,878485.1312499996
28,0.13672770177137422,1.327521620770487,0.07838036069811666,1.1734902005504164,394057.53125,323543.46875,478451.09375,213768.921875,488945.546875,921754.85,432469.53125,411320.53125,498954.40625,243164.109375,551015.59375,848136.9312499998
29,0.1404004784449478,1.3178208115642056,0.0782828642744628,1.164200459029764,381442.90625,290278.1875,478090.21875,190027.671875,520171.4375,955832.5187499996,424639.40625,374551.125,485551.5,264716.0625,537155.78125,814773.7687499996
30,0.13706651811898538,1.3048986962340987,0.07853517076427784,1.1398521245445483,375047.84375,302537.03125,478859.8125,160417.21875,497636.203125,968729.1499999999,432376.625,388231.21875,506710.96875,224732.53125,574705.75,870111.9437499997
31,0.13441151049148087,1.285548231039624,0.07507880712184337,1.1743838535143818,367328.28125,278965.8125,465960.59375,177973.6484375,460362.6875,951922.5749999998,422672.46875,385327.96875,490624.75,247165.203125,535690.03125,854292.2124999999
32,0.13364537933957252,1.2743720238298621,0.07427548359658011,1.1640186192706692,366748.0625,282086.4375,464262.4375,167282.1015625,461007.8125,958335.88125,418384.03125,394303.9375,489514.28125,230989.859375,541618.9375,832353.9374999995
33,0.13251794134833958,1.2576016011100188,0.07301776573654344,1.1303564557664678,367504.15625,284275.0625,460873.0625,178546.09375,453506.75,938007.41875,413396.65625,366919.5625,485992.78125,224829.640625,546997.59375,863812.0562499994
34,0.1334136010039072,1.2461738600007908,0.0776450144360554,1.1411303642030737,377750.03125,311461.03125,477957.3125,182816.015625,473190.0625,938064.3624999993,445156.875,381033.3125,522568.3125,255017.3203125,575249.40625,923277.2812499998
35,0.13248056103128492,1.2380335102156523,0.0784755199805859,1.1559640190169638,390008.5,325444.90625,485416.34375,191844.6953125,507949.546875,957652.2624999993,444994.5,411908.78125,522224.25,241552.953125,593506.03125,913921.5437499993
36,0.13373761656094182,1.2187979037462882,0.07687460803156235,1.1357688020809058,379472.0625,315823.84375,474706.625,192737.8359375,480481.953125,961156.1124999997,423618.5,359022.09375,491452.84375,250839.125,542746.40625,875291.0249999997
37,0.13333744779033269,1.2078646586507584,0.07382048230151153,1.1501699933933167,369344.59375,290684.0,465045.8125,180244.8671875,470331.359375,942393.99375,424652.71875,374302.03125,495776.25,226805.7734375,550205.1875,899706.35
38,0.1361260293843347,1.1937209146258916,0.07362161972061575,1.136995398227997,362919.78125,296930.46875,465861.125,160303.3046875,469233.09375,933253.1749999999,407930.125,369848.5625,489870.3125,213814.5625,525715.03125,916491.2624999987
39,0.13214526518095385,1.1958157626502248,0.07484022956284543,1.1355346598518608,374380.5625,315634.1875,470086.5,181385.9140625,456389.703125,945400.41875,423763.28125,371677.15625,496610.71875,248220.8203125,529707.90625,886837.4937499993
40,0.13365891473947336,1.1856544437792926,0.07441652338348033,1.1503667014413186,369750.25,289982.0625,468165.0625,168351.5703125,471068.046875,931534.6187499998,402205.375,352534.1875,478671.5,219920.3984375,538787.8125,835967.6437499999
41,0.1299406234158642,1.168624658630565,0.0743702767980755,1.1275772218413036,374710.5,292990.375,468067.125,184841.2890625,479991.390625,972611.1499999998,426066.96875,375344.21875,507025.125,221046.0859375,556200.46875,909489.5874999991
42,0.1322924983765241,1.1651663593719341,0.07204256834467981,1.13678341314648,375655.5,288414.75,464561.84375,202402.390625,474920.515625,932942.4749999997,411488.90625,370993.125,488699.1875,230167.6328125,527961.65625,862086.03125
43,0.13289317901358075,1.1547596856860296,0.07371254076195784,1.1209670298274277,385055.8125,322331.84375,468401.3125,204617.2734375,486527.96875,926610.1312499999,412712.90625,356268.3125,480211.0625,258443.3359375,523300.390625,826974.6187499997
44,0.13175969166676274,1.146100467699437,0.07335949243709947,1.1372139836499178,374563.84375,309381.09375,462221.5,191888.453125,471919.375,878816.4312499999,398954.71875,351155.28125,480910.96875,202644.78125,517877.078125,885969.3687499986
45,0.1336958564746077,1.1439736573765091,0.07354535348143781,1.1299738622098217,373986.9375,302025.71875,469194.25,171467.9140625,504200.1875,931590.9437499999,412744.375,361571.15625,487746.5625,229593.34375,542242.34375,867180.3062499994
46,0.13329013950933394,1.1288399225154746,0.0713966649811749,1.136745329472786,369101.3125,290370.53125,462917.78125,184941.4453125,456344.3125,938754.3687499997,402685.5,342952.78125,487971.9375,195635.296875,537883.59375,883207.64375
47,0.12757005826566012,1.1215983533107012,0.07019317267456915,1.1087192754568789,356498.78125,287753.71875,456547.625,156777.9609375,441840.5,966526.0812499999,406891.75,377443.03125,485158.40625,222961.2265625,524701.921875,869150.0249999999
48,0.12920991360723294,1.115215062886137,0.06925408325702043,1.1312994965186929,354648.84375,281365.09375,457243.34375,156174.140625,431596.25,945194.4874999997,416226.5,363498.28125,506225.6875,198014.921875,555765.03125,893407.3999999998
49,0.12941221938542793,1.1071522037362342,0.07033356668752268,1.1062075718838595,363600.1875,277982.5,455282.0,191243.90625,446853.0625,909458.6812499996,411048.5,347887.15625,495152.03125,218034.9140625,547650.46875,933668.8187499987
50,0.12707720555227958,1.0923898143270996,0.06790370101092058,1.1149940014523467,346363.21875,275213.8125,449320.03125,148417.9375,437581.921875,922906.4624999999,398017.96875,351357.0,488225.84375,181888.8828125,543867.59375,893674.456249999
51,0.12653088005460428,1.0965323734450612,0.06942181204323193,1.10315305824514,364280.125,299602.28125,455156.625,176191.921875,458039.078125,924928.3999999996,408261.40625,366706.28125,487920.875,222882.1640625,543583.59375,842822.6812499999
52,0.12818908023400646,1.079566652476004,0.06799257118311862,1.1016642083542063,369413.0,304477.84375,452840.28125,190542.21875,464920.828125,907656.1124999999,400919.28125,345109.0,475987.1875,217323.203125,497593.5625,871269.5624999994
53,0.12630732583435453,1.0677367225224046,0.06900625269210667,1.134587595603836,369588.59375,291951.8125,456088.9375,180528.734375,483332.3125,901654.9999999998,407359.53125,354732.125,481738.28125,226640.796875,537667.34375,947429.0624999979
54,0.1253877689932962,1.0620559053813858,0.06699176587232757,1.0800872749537913,352437.03125,283976.25,446911.40625,162391.2265625,445442.953125,912892.35,401888.0625,348051.5625,480506.0625,209905.0859375,516056.484375,856237.975
55,0.12382736188293443,1.0565571170643064,0.06690915751438986,1.0863392472107658,355655.21875,276387.40625,448538.625,155824.6328125,470221.5625,911977.6124999992,401864.65625,343717.21875,497735.53125,185446.15625,571639.84375,896711.7749999997
56,0.1236739016507771,1.0416316712351874,0.06550911008536998,1.0790036064010136,362501.28125,295904.8125,445722.1875,184111.421875,445484.671875,959375.3624999999,408910.375,364257.34375,491471.3125,214450.71875,544687.53125,850796.3124999997
57,0.12508387984112102,1.02821715749428,0.06860010585653672,1.1074507230649266,356880.4375,281579.125,456098.84375,146151.703125,478337.015625,948089.25,398957.8125,360202.09375,486378.65625,204709.734375,518295.25,886592.5249999986
58,0.12426771656475392,1.0415779428456982,0.06558739629770638,1.080871579752073,356520.375,277693.0,444185.1875,173320.8671875,470978.640625,929914.2062499999,401663.625,360931.71875,481287.59375,205249.6015625,523032.578125,820950.8937499999
59,0.12277161422055818,1.0438632574340525,0.0655015721484244,1.0509349998187798,358162.09375,275999.6875,444381.875,187389.2734375,458371.640625,912618.8999999999,405877.90625,348430.5625,484670.65625,215766.8125,530086.40625,846845.0499999998
60,0.12302333345729775,1.0259791491430752,0.06459437402973481,1.082079289489588,355346.8125,287789.25,443271.96875,174311.71875,449127.796875,914732.6749999998,418220.84375,338827.5625,508784.0625,206501.171875,573448.78125,903888.3437499999
61,0.1227236974406514,1.0175208136974774,0.06623900554140044,1.0887359236317204,366469.46875,312779.375,448110.625,176546.3828125,476010.703125,944172.0687499994,398737.90625,359679.84375,489243.65625,196279.84375,543381.125,865827.3749999999
62,0.12386931362745535,1.0072168396503438,0.064919616981475,1.080331897867177,354116.90625,289704.15625,444452.5,162128.859375,457843.78125,927801.0874999999,397855.75,349808.125,483637.6875,212850.703125,534222.6875,851395.4624999998
63,0.12241437978631148,1.0024857021130353,0.07264366168357911,1.063467653180773,383479.59375,325522.0625,476067.9375,193832.0625,478737.15625,956015.8312499996,402512.625,362315.34375,482044.40625,212166.1015625,523833.65625,856407.2624999994
64,0.12295223995520815,0.9852536805986208,0.06422577535203837,1.0804861172455553,344924.8125,283153.75,440010.28125,145357.1796875,425893.03125,895885.0062499999,400764.78125,338278.09375,484294.9375,213051.3125,538900.71875,836867.3249999994
65,0.1225342028411097,0.9806815216041886,0.0669658630858503,1.0843435937427668,362525.21875,290014.875,452954.46875,169446.2734375,458148.484375,904165.6499999999,429706.40625,366172.78125,526086.8125,202270.8203125,596861.46875,943931.6062499989
66,0.1224463647141674,0.976443397486868,0.06674638600159857,1.0699348508441586,356706.75,284257.09375,450064.25,161873.5546875,457251.828125,888934.375,423097.625,378497.1875,506437.0,214592.6484375,550572.03125,872322.7437499996
67,0.121539172144259,0.9702504360289244,0.06301404239569965,1.1112744915775281,348184.75,284569.75,436874.0625,156730.9375,463939.78125,900033.7124999999,399633.84375,365767.5625,480754.4375,213999.6484375,526386.859375,874242.2937499984
68,0.12189051974483167,0.9595415474133571,0.07049101191239619,1.102188295237962,380112.28125,305682.3125,460733.8125,214850.1953125,475901.25,903693.9437499999,401619.875,342741.1875,475981.40625,236661.2265625,467998.21875,818291.1187499998
69,0.11993972090620622,0.9491572375364412,0.06310945394981528,1.0660734361172717,353748.5,296234.9375,437274.21875,166555.5703125,459737.796875,889935.5999999999,393656.625,343188.78125,478245.8125,208742.75,537901.125,839673.4687499994
70,0.12100564306446798,0.9303277596687665,0.06845338967278464,1.0736681659678702,365844.78125,297889.59375,457650.0625,176207.8515625,490605.375,972320.4249999996,419063.4375,358954.0625,499154.46875,232224.8046875,547035.3125,885143.6749999998
71,0.12317656582640933,0.9348089374752028,0.06444426444829057,1.0523472378989065,350341.21875,263952.34375,442414.4375,153492.8203125,481274.6875,876678.2499999999,411864.875,334259.5625,505454.0,206608.21875,577080.375,866032.29375
72,0.11787622278975772,0.919840614279564,0.06180738212273026,1.0468638901602667,352684.6875,280040.21875,435367.03125,177525.0859375,467000.140625,910170.0125,399675.5,332486.34375,491478.03125,201533.2734375,546499.625,860314.0874999998
73,0.11842071409292329,0.9176958916377436,0.06674335244188614,1.0843181314531323,380358.46875,318470.03125,450862.0625,211252.2578125,503593.15625,885093.7875,404020.71875,351768.4375,482615.375,213529.8125,528981.96875,830114.8187499999
74,0.11651766086021711,0.9190252628063131,0.06507950824107234,1.0762788122687175,349070.59375,286944.75,447017.0625,147565.21875,440913.296875,928764.4312499998,405241.34375,353955.46875,489466.34375,219076.1484375,532558.96875,858963.1187499993
75,0.11911440538168998,0.9231498365753268,0.06673104312578472,1.0438119238657926,363148.0625,296130.46875,450715.21875,176011.53125,469663.40625,903810.2562499999,420867.5,384782.5,501322.03125,235747.765625,559772.15625,845290.54375
76,0.11865167149345045,0.8924364353041185,0.061664672266543825,1.0466764920963607,346690.78125,282347.3125,433378.53125,167854.2890625,438251.453125,898078.2687499993,412429.625,350460.0,499356.65625,206017.046875,566349.40625,870797.4562499995
77,0.11774616772725224,0.8866410290954616,0.0661767356052129,1.037165059942358,360530.40625,283576.875,443378.0625,195364.28125,436808.734375,917503.7249999996,404103.96875,357761.1875,487046.1875,210750.734375,508534.234375,850009.2687499997
78,0.11483637901067106,0.8732425425263688,0.060240232958159314,1.0563953969049014,335259.78125,261432.296875,428220.71875,135501.0859375,441922.9375,896349.0937499998,396946.96875,336554.03125,487773.9375,196547.8984375,554253.875,865040.0937499997
79,0.11180541691134417,0.8693157367075253,0.06249602390766509,1.0622037138767209,348911.03125,281870.34375,435451.71875,155499.4453125,453545.84375,942330.9374999999,385405.40625,331952.84375,470382.125,209874.4921875,488649.796875,811819.7062499996
80,0.11327460952801834,0.8720545088586632,0.06443386172892851,1.0705264733794837,360721.75,282146.21875,444450.8125,188877.8203125,434315.1875,940618.3937499999,404502.53125,342199.71875,481980.34375,232304.6953125,498359.578125,841886.1187499999
81,0.11269599126160511,0.8611478870318293,0.06675943193404682,1.0789200552345901,387061.78125,334278.75,454586.40625,222906.8828125,489152.3125,888159.4125,403015.25,343138.84375,488466.84375,219044.921875,552189.40625,874742.1374999998
82,0.11413897865180067,0.8540997695337775,0.06599924625652281,1.0862867022757807,351960.15625,269224.28125,447147.1875,175321.859375,452529.828125,971528.7499999999,394153.21875,330306.4375,487744.125,199804.265625,518738.5,868877.3812499996
83,0.11787277325582964,0.8553762488152038,0.06726534036913778,1.059309214601478,375037.84375,318787.5,454793.25,182290.6171875,504527.703125,872878.5375,399043.3125,348542.28125,478725.46875,211905.0859375,514546.171875,880724.2249999997
84,0.11520006187671533,0.8356800674869761,0.06491549592180354,1.032562473482266,361702.0625,298001.9375,448172.78125,169975.171875,466590.296875,914971.0562499999,395068.4375,345675.875,476339.875,206301.609375,497467.65625,819487.9062499997
85,0.11501008824597943,0.8409008459497397,0.061410063302389344,1.0331892894291546,347828.1875,263193.03125,434289.21875,170956.1328125,468655.9375,929460.7874999999,388895.15625,317010.78125,485773.5625,184684.2265625,536840.0625,844723.3812499997
86,0.11442592158900552,0.8245870880031669,0.07176353603555886,1.0267442836614127,369909.25,296993.9375,470048.21875,172056.828125,475897.25,971284.6187499997,408528.59375,364659.96875,494283.3125,219634.4375,521196.59375,859676.7062499998
87,0.11119540189176563,0.8198064962152218,0.0638763525548878,1.0335501239156262,347826.0,270854.5,441401.6875,149524.2734375,466072.9375,940822.5687499999,385430.1875,331623.5625,475412.75,176087.46875,522420.078125,857726.1374999996
88,0.10812874229773423,0.8025977178480832,0.06414607457748246,1.0132957156948281,355791.8125,279414.90625,443624.34375,176265.6796875,454185.109375,950442.3312499997,397685.875,337164.6875,485668.28125,201074.9921875,526241.84375,859483.3249999996
89,0.10860298799904264,0.815991692173178,0.06404834205358764,1.1181766304988454,347909.90625,262789.40625,441555.0,164854.359375,449348.0625,936365.4062499998,402601.625,346173.625,497667.59375,195772.09375,540920.875,896957.0875
90,0.1091674679562149,0.7978572460457904,0.06629270440485864,1.0246459330883895,361550.625,292603.65625,451882.9375,173788.53125,468862.109375,955385.0249999993,404627.09375,363293.0625,486425.90625,214155.6328125,525523.3125,843283.0624999998
91,0.10538942020102408,0.7974830068171181,0.07044497823815463,1.0546006386976265,382294.84375,311268.90625,465208.25,199280.84375,486941.953125,925035.8249999997,403686.375,361691.90625,484813.28125,221357.40625,496653.75,901030.2374999996
92,0.10950923187692473,0.7909978762935067,0.06278955496688136,1.0377106527450857,353411.53125,269255.75,441687.65625,184292.3203125,429698.734375,935185.9124999993,393014.90625,330970.65625,481071.15625,220420.203125,510923.984375,862851.3562499996
93,0.10480295146483272,0.8005353621909955,0.06397520168613222,1.0248555989701205,343735.0625,256919.4375,444515.625,147801.53125,451655.078125,975201.7562499992,376676.9375,333255.71875,463828.25,195147.109375,498194.359375,847832.7187499994
94,0.1042464735879384,0.7854978772864647,0.06429612769856366,1.0327869576632258,349741.0,276210.5625,444523.78125,161536.390625,441400.078125,905625.1499999998,383881.15625,322129.90625,472783.03125,190496.4453125,527351.5625,851176.7687499995
95,0.10410937964655034,0.7809120639701562,0.06632866360680044,1.0543215240697008,369490.875,304401.84375,453697.15625,190632.390625,447598.65625,935398.4312499998,391849.40625,333428.75,474564.8125,200727.859375,509493.796875,854649.0374999999
96,0.10436454822132192,0.7713390509357169,0.06184529009579883,1.0529890748308524,344340.125,268464.375,439079.375,163363.359375,423437.171875,949010.81875,387604.75,336710.375,475716.65625,213725.109375,504767.125,861180.0687499994
97,0.10406319050674999,0.7711817165616309,0.06942622456984418,1.0170730557193017,381201.65625,312073.75,465072.1875,211481.984375,466949.28125,930134.6437499998,386765.90625,330484.90625,468111.59375,208633.0859375,487586.75,827325.5375
98,0.10504901842732475,0.7558887897615992,0.06581463233001006,1.0598291416059031,347865.40625,261279.125,453199.90625,164121.5546875,448981.453125,993686.225,399888.59375,357466.15625,482198.40625,232018.875,519149.0,853557.59375
99,0.10296890129131983,0.7562358974888072,0.06529754618985938,1.0391813943932255,354165.1875,283364.96875,451463.46875,160542.0625,449695.21875,964179.2187499995,397059.8125,328239.96875,476681.90625,229604.984375,518914.828125,816324.4562499999
100,0.10380141316577596,0.767071962774479,0.06826490768735562,1.0312332594998619,382230.25,317495.4375,462005.84375,204603.625,473583.03125,949818.5625,392274.25,356516.96875,467530.53125,203074.5234375,507153.34375,787055.7999999998
101,0.10589542661080958,0.7614178905666763,0.06933987193060213,1.0276469094247986,366882.28125,303922.71875,461644.75,178669.1171875,471272.21875,920862.8687499998,397946.65625,350226.71875,478124.5625,202938.3671875,526781.875,798001.0374999999
102,0.10247204033861967,0.7658025688711328,0.06739570103608505,1.027044558493009,363383.28125,285805.71875,459698.4375,184726.6875,464088.15625,923129.38125,400170.25,348105.0625,481406.5625,226137.8046875,513664.640625,882429.1124999998
103,0.10074865771661612,0.7605951031919742,0.07157794250579784,1.0742143068461898,399501.40625,336455.5625,477003.1875,230773.015625,518978.875,921807.7624999998,394886.25,344817.03125,475573.03125,228792.75,512850.234375,856714.5687499994
104,0.10180137117738582,0.7548184979390304,0.06588743065429754,1.003336613543548,353154.0625,265515.25,452900.84375,169357.65625,446966.0625,996174.3937499999,398907.34375,352511.28125,478578.0625,203971.84375,538382.3125,891559.2749999999
105,0.10195015799858193,0.7405924358250905,0.06680633872747421,1.0465472192868066,345668.3125,266690.28125,451949.0625,154940.0078125,429446.53125,964766.1124999993,387792.5625,331359.125,477358.125,202055.9140625,510694.0625,896784.2687499974
106,0.09977979231282977,0.7344712190310438,0.065499015665109,1.0477803839421873,350418.46875,273634.625,449170.34375,166356.109375,438490.03125,945980.0312499997,395670.25,342120.21875,476316.21875,222979.3984375,504259.3125,889037.5249999999
